TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SHB1,SHB2,SHB3,SHB4,TSHB
T6,1,AWD,A,N2,7,97.0,26,2,0,0,15,0,3.75
T6,1,AWD,A,N2,8,88.5,14,2,0,0,0,5,1.25
T6,1,AWD,A,N2,9,91.0,29,2,0,0,0,15,3.75
T6,1,AWD,B,N2,1,93.0,16,0,0,0,0,0,0.00
T6,1,AWD,B,N2,2,95.0,23,2,0,0,0,15,3.75
T6,1,AWD,B,N2,3,99.5,28,2,0,0,5,0,1.25
T6,1,AWD,B,N2,4,98.5,32,1,0,0,0,5,1.25
T6,1,AWD,B,N2,5,99.5,16,1,0,0,0,15,3.75
T6,1,AWD,B,N2,6,100.0,27,0,0,0,0,0,0.00
T6,1,AWD,B,N2,7,97.5,28,2,0,0,0,5,1.25
T6,1,AWD,B,N2,8,93.0,33,2,0,0,5,0,1.25
T6,1,AWD,B,N2,9,99.3,20,2,0,0,15,0,3.75
T6,2,AWD,A,N2,1,89.0,17,5,5,1,0,0,1.50
T6,2,AWD,A,N2,2,94.3,22,5,1,5,0,0,1.50
T6,2,AWD,A,N2,3,102.0,11,0,0,0,0,0,0.00
