TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T2,2,PDL,A,N1,6,81,14,2,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,7,73.7,21,1,1,,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,8,81,21,6,1,2,5,0,,,,2,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,A,N1,9,77.4,23,2,1,,5,0,,,,2,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,1,64.5,16,2,1,,5,0,,,,1,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,2,69,20,3,1,2,4,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,3,69.8,25,2,1,1,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,4,83.2,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,5,81.5,25,2,1,1,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,6,74.5,12,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,7,78,23,3,1,1,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,8,84,20,4,1,2,5,0,,,,1,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,2,PDL,B,N1,9,78.2,20,1,1,1,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T2,3,PDL,A,N1,1,70,17,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T2,3,PDL,A,N1,2,72.5,27,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T2,3,PDL,A,N1,3,85,14,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
