"DATE","REP","WMGT","NRTE","SMPL","HILL","NTIL","NTShB","NSHShB","TIL","GL","DL","ShBL1","ShBL2","ShBL3","ShBL4","ShBL5","ShBL6"
"","1","PDL","N2","A","9","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","A","9","","","3","4","2","1","0","0","","","",""
"26-Apr-16","1","PDL","N2","B","1","17","17","3","1","2","1","0","0","","","",""
"","1","PDL","N2","B","1","","","3","2","2","1","0","0","","","",""
"","1","PDL","N2","B","1","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","B","1","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","B","2","25","15","3","1","2","1","0","0","","","",""
"","1","PDL","N2","B","2","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","B","2","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","B","2","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","B","3","20","20","3","1","2","2","0","0","","","",""
"","1","PDL","N2","B","3","","","3","2","2","1","0","0","","","",""
"","1","PDL","N2","B","3","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","B","3","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","B","4","21","21","2","1","2","2","0","0","","","",""
"","1","PDL","N2","B","4","","","4","2","2","1","0","0","","","",""
"","1","PDL","N2","B","4","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","B","4","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","B","5","19","19","1","1","2","1","0","0","","","",""
"","1","PDL","N2","B","5","","","1","2","2","1","0","0","","","",""
"","1","PDL","N2","B","5","","","1","3","2","1","0","0","","","",""
"","1","PDL","N2","B","5","","","1","4","2","2","0","0","","","",""
"","1","PDL","N2","B","6","24","24","3","1","2","2","0","0","","","",""
"","1","PDL","N2","B","6","","","3","2","2","2","0","0","","","",""
"","1","PDL","N2","B","6","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","B","6","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","B","7","20","16","3","1","2","1","0","0","","","",""
"","1","PDL","N2","B","7","","","3","2","2","1","0","0","","","",""
"","1","PDL","N2","B","7","","","3","3","2","1","0","0","","","",""
"","1","PDL","N2","B","7","","","3","4","2","1","0","0","","","",""
"","1","PDL","N2","B","8","20","20","1","1","2","2","0","0","","","",""
"","1","PDL","N2","B","8","","","1","2","2","2","0","0","","","",""
"","1","PDL","N2","B","8","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","B","8","","","3","4","2","2","0","0","","","",""
"","1","PDL","N2","B","9","19","19","1","1","2","1","0","0","","","",""
"","1","PDL","N2","B","9","","","3","2","2","1","0","0","","","",""
"","1","PDL","N2","B","9","","","3","3","2","2","0","0","","","",""
"","1","PDL","N2","B","9","","","3","4","2","1","0","0","","","",""
"26-Apr-16","2","AWD","N1"," A","1","25","9","1","1","1","3","0","","","","",""
"","2","AWD","N1"," A","1","","","1","2","1","3","0","","","","",""
"","2","AWD","N1"," A","1","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," A","1","","","1","4","1","3","0","","","","",""
"","2","AWD","N1"," A","2","17","7","1","1","1","3","0","","","","",""
"","2","AWD","N1"," A","2","","","1","2","1","3","0","","","","",""
"","2","AWD","N1"," A","2","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," A","2","","","1","4","1","2","0","","","","",""
"","2","AWD","N1"," A","3","12","7","1","1","1","3","0","","","","",""
"","2","AWD","N1"," A","3","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," A","3","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," A","3","","","1","4","1","3","0","","","","",""
"","2","AWD","N1"," A","4","17","6","1","1","1","2","0","","","","",""
"","2","AWD","N1"," A","4","","","1","2","1","3","0","","","","",""
"","2","AWD","N1"," A","4","","","1","3","2","2","0","0","","","",""
"","2","AWD","N1"," A","4","","","1","4","1","2","0","","","","",""
"","2","AWD","N1"," A","5","24","7","1","1","1","3","0","","","","",""
"","2","AWD","N1"," A","5","","","1","2","2","2","0","0","","","",""
"","2","AWD","N1"," A","5","","","1","3","1","3","0","","","","",""
"","2","AWD","N1"," A","5","","","1","4","1","2","0","","","","",""
