TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T3,1,PDL,A,N2,4,97,17,2,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,3,5,0,,,,,,
T3,1,PDL,A,N2,5,93.5,26,3,1,,4,0,,,,,,,2,,4,0,,,,,,,3,3,4,0,,,,,2,,4,,4,0,,,,,,
T3,1,PDL,A,N2,6,92.3,15,4,1,,4,1,,,,,,,2,2,5,0,,,,,1,,3,3,4,0,,,,,2,,4,,4,0,,,,,,
T3,1,PDL,A,N2,7,99.5,22,2,1,,4,1,,,,,,,2,,3,1,,,,,,,3,,4,0,,,,,,,4,4,4,0,,,,,3,
T3,1,PDL,A,N2,8,96,22,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,3,4,0,,,,,2,,4,,4,0,,,,,,
T3,1,PDL,A,N2,9,95.3,26,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,1,,4,,4,0,,,,,,
T3,1,PDL,B,N2,1,86.5,18,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T3,1,PDL,B,N2,2,86,15,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,,,,,,4,,4,0,,,,,,
T3,1,PDL,B,N2,3,90.3,16,1,1,,4,1,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T3,1,PDL,B,N2,4,84.2,12,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T3,1,PDL,B,N2,5,93.5,15,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T3,1,PDL,B,N2,6,84.5,14,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T3,1,PDL,B,N2,7,89,16,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,2,4,0,,,,,,
T3,1,PDL,B,N2,8,90.5,13,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,1,4,0,,,,,,
T3,1,PDL,B,N2,9,89.2,17,2,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,4,4,0,,,,,3,
T3,2,PDL,A,N2,1,96.4,23,2,1,1,4,1,,,1,1,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T3,2,PDL,A,N2,2,101.5,25,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T3,2,PDL,A,N2,3,89,19,3,1,1,5,0,,,,2,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T3,2,PDL,A,N2,4,98.5,23,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,2,PDL,A,N2,5,92,21,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,4,1,,,,,,
T3,2,PDL,A,N2,6,82.5,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,5,0,,,,,,
T3,2,PDL,A,N2,7,101.5,19,1,1,,5,0,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T3,2,PDL,A,N2,8,95.6,25,2,1,1,5,0,,,,1,,,2,,5,0,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T3,2,PDL,A,N2,9,96,18,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T3,2,PDL,B,N2,1,95.5,16,0,1,,5,0,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
